iter	Passed	Remaining
0	96	96029
1	98	48991
2	99	33109
3	101	25218
4	103	20555
5	104	17377
6	106	15066
7	107	13376
8	109	12112
9	111	11043
10	112	10119
11	113	9379
12	115	8789
13	116	8233
14	118	7752
15	119	7334
16	120	6982
17	122	6656
18	123	6352
19	124	6080
20	125	5828
21	125	5599
22	127	5402
23	128	5224
24	129	5055
25	130	4896
26	131	4742
27	132	4604
28	133	4483
29	134	4353
30	135	4232
31	136	4123
32	137	4017
33	137	3916
34	138	3821
35	139	3737
36	140	3652
37	140	3569
38	141	3489
39	142	3413
40	142	3338
41	143	3269
42	143	3203
43	144	3142
44	145	3085
45	146	3032
46	147	2981
47	147	2930
48	148	2881
49	149	2832
50	149	2784
51	150	2737
52	150	2691
53	151	2650
54	152	2612
55	152	2572
56	153	2532
57	153	2495
58	154	2460
59	154	2424
60	155	2389
61	155	2356
62	156	2324
63	156	2293
64	157	2263
65	158	2237
66	158	2210
67	159	2183
68	159	2156
69	160	2130
70	160	2104
71	161	2079
72	161	2055
73	162	2031
74	162	2008
75	163	1987
76	164	1968
77	164	1948
78	165	1929
79	166	1909
80	167	1896
81	167	1877
82	167	1855
83	168	1837
84	169	1820
85	169	1803
86	170	1788
87	170	1771
88	171	1756
89	172	1740
90	172	1723
91	173	1708
92	173	1692
93	174	1677
94	174	1662
95	175	1648
96	175	1634
97	176	1620
98	176	1610
99	177	1597
100	178	1585
101	178	1573
102	179	1562
103	179	1550
104	180	1538
105	180	1526
106	181	1514
107	182	1503
108	182	1493
109	183	1483
110	184	1473
111	184	1463
112	185	1453
113	185	1443
114	186	1434
115	186	1424
116	187	1413
117	187	1403
118	188	1394
119	189	1386
120	190	1380
121	190	1371
122	191	1363
123	191	1355
124	192	1347
125	193	1338
126	193	1329
127	194	1321
128	194	1313
129	195	1306
130	195	1298
131	196	1291
132	196	1283
133	197	1275
134	197	1268
135	198	1261
136	198	1253
137	199	1245
138	200	1238
139	200	1232
140	201	1226
141	201	1219
142	202	1212
143	202	1205
144	203	1199
145	203	1192
146	204	1186
147	204	1179
148	205	1173
149	205	1167
150	206	1161
151	207	1155
152	207	1150
153	208	1145
154	209	1140
155	209	1135
156	210	1129
157	211	1124
158	211	1118
159	212	1113
160	212	1107
161	213	1102
162	213	1098
163	214	1093
164	214	1088
165	215	1082
166	216	1077
167	216	1072
168	217	1067
169	217	1062
170	218	1058
171	218	1053
172	219	1048
173	220	1044
174	220	1040
175	221	1035
176	221	1030
177	221	1025
178	222	1020
179	223	1015
180	223	1011
181	224	1006
182	224	1002
183	224	997
184	225	993
185	226	990
186	226	986
187	227	983
188	228	979
189	228	975
190	229	972
191	230	968
192	230	964
193	231	960
194	231	957
195	232	953
196	233	949
197	233	946
198	234	942
199	234	938
200	235	935
201	235	931
202	236	928
203	237	925
204	237	922
205	238	920
206	239	916
207	239	913
208	240	909
209	240	906
210	241	902
211	241	899
212	242	895
213	242	891
214	243	888
215	243	884
216	244	881
217	244	878
218	245	876
219	246	873
220	246	870
221	247	866
222	247	863
223	248	860
224	248	857
225	249	854
226	250	851
227	250	848
228	251	845
229	251	843
230	252	840
231	252	837
232	253	834
233	253	831
234	254	828
235	255	825
236	255	822
237	255	819
238	256	816
239	257	813
240	257	811
241	258	808
242	258	806
243	259	803
244	259	800
245	260	797
246	260	794
247	261	791
248	261	788
249	261	785
250	262	783
251	263	781
252	263	779
253	264	776
254	265	774
255	265	771
256	266	769
257	266	766
258	267	764
259	267	762
260	268	759
261	269	757
262	269	755
263	270	753
264	271	751
265	271	749
266	272	746
267	272	744
268	273	742
269	273	739
270	274	737
271	274	734
272	275	732
273	275	730
274	276	728
275	276	726
276	277	724
277	277	721
278	278	719
279	279	717
280	279	715
281	280	713
282	280	710
283	281	708
284	281	706
285	282	704
286	282	702
287	283	700
288	283	698
289	284	696
290	285	694
291	285	692
292	286	691
293	287	689
294	288	688
295	289	687
296	290	686
297	290	685
298	291	683
299	292	681
300	292	679
301	293	677
302	293	675
303	294	674
304	295	672
305	295	670
306	296	668
307	296	666
308	297	664
309	297	663
310	298	661
311	299	659
312	299	657
313	300	655
314	300	654
315	301	652
316	302	650
317	302	649
318	303	647
319	303	645
320	304	643
321	304	641
322	305	639
323	305	637
324	306	636
325	307	634
326	307	633
327	308	631
328	308	629
329	309	628
330	309	626
331	310	624
332	310	622
333	311	620
334	311	618
335	312	617
336	312	615
337	313	613
338	314	612
339	314	610
340	314	608
341	315	606
342	315	604
343	316	603
344	316	601
345	317	600
346	317	598
347	318	596
348	319	595
349	319	593
350	320	591
351	320	590
352	320	588
353	321	586
354	321	585
355	322	583
356	323	581
357	323	580
358	324	578
359	324	576
360	325	575
361	325	574
362	326	572
363	327	571
364	327	570
365	328	568
366	328	567
367	329	566
368	330	564
369	330	563
370	331	562
371	332	560
372	332	559
373	333	557
374	333	556
375	334	554
376	334	553
377	335	551
378	335	550
379	336	548
380	336	547
381	337	545
382	338	544
383	338	542
384	338	541
385	339	540
386	339	538
387	340	537
388	340	535
389	341	533
390	341	532
391	342	531
392	343	529
393	343	528
394	344	527
395	344	526
396	345	524
397	346	523
398	346	522
399	347	520
400	347	519
401	348	517
402	348	516
403	348	514
404	349	513
405	349	511
406	350	510
407	350	509
408	351	507
409	352	506
410	352	505
411	353	504
412	353	503
413	354	501
414	355	500
415	355	499
416	356	498
417	356	496
418	357	495
419	357	494
420	358	492
421	358	491
422	359	490
423	359	488
424	360	487
425	360	486
426	361	484
427	361	483
428	362	482
429	363	481
430	363	480
431	364	478
432	364	477
433	365	476
434	365	475
435	366	473
436	366	472
437	367	471
438	367	469
439	368	468
440	368	467
441	369	466
442	369	465
443	370	463
444	371	462
445	371	461
446	372	460
447	372	459
448	373	458
449	374	457
450	374	456
451	375	455
452	376	454
453	376	452
454	377	451
455	377	450
456	378	449
457	378	448
458	379	446
459	379	445
460	380	444
461	380	443
462	381	442
463	381	441
464	382	439
465	382	438
466	383	437
467	383	436
468	384	434
469	384	433
470	385	432
471	385	431
472	385	430
473	386	428
474	386	427
475	387	426
476	388	425
477	388	424
478	389	423
479	390	422
480	390	421
481	391	420
482	391	418
483	391	417
484	392	416
485	393	415
486	393	414
